Planet name,Host star name,Stars in system,Planets in system,Discovery method,Discovery year,Discovery facility,Orbital period (days),Orbit semi-major axis (AU),Planet radius (R_E),Planet radius (R_J),Planet mass (M_E),Planet temperature (K),Stellar spectral class,Stellar temperature (K),Stellar radius (R_sol),Stellar mass (M_sol),Right ascension (deg),Declination (Deg),Stellar distance (pc),Stellar magnitude,releasedate
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,,1.21,,,5434.7,,,,,2.6,185.1787793,17.7932516,93.1846,4.72307,2014-07-23
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,,,6165.6,,G8 III,4742,19,2.7,185.1787793,17.7932516,93.1846,4.72307,2014-05-14
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,,,4914.89848585,,G8 III,4874,13.76,2.09,185.1787793,17.7932516,93.1846,4.72307,2023-09-19
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,,,4684.8142,,,4213,29.79,2.78,229.2745954,71.8239428,125.321,5.013,2018-09-06
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1.51,,,3432.4,,,,,1.7,229.2745954,71.8239428,125.321,5.013,2014-07-23
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,1.54,,,3337.07,,K4 III,4340,24.08,1.8,229.2745954,71.8239428,125.321,5.013,2014-05-14
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,,,1131.15130051,,K0 III,4888,11.55,1.78,352.82415,39.2358367,75.4392,5.23133,2023-09-19
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,0.68,,,1017,,,,,1.2,352.82415,39.2358367,75.4392,5.23133,2014-07-23
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,,,1525.5,,K0 III,4813,11,2.2,352.82415,39.2358367,75.4392,5.23133,2014-05-14
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.4,2.77,,,1474.67,,K0 V,,,,242.6021014,43.8163621,17.9323,6.61935,2014-05-14
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766,2.864,,,1581.138,,,5280,1.00235,0.91,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,,,2559.47216157,,,,,0.91,242.6021014,43.8163621,17.9323,6.61935,2023-06-12
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,,,1481.0878,,,5338,0.93,0.9,242.6021014,43.8163621,17.9323,6.61935,2018-09-06
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.4,2.8,,,1506.45,,,5255,,0.9,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41,2.83,,,1541.46777395,,,5314.94,0.995819,0.969205,242.6021014,43.8163621,17.9323,6.61935,2021-09-20
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724,2.82,,,1554.12,,K0 V,,,1,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,,2.73,,,1440.663,,,,,0.9,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.45,1.676,,,556.83536906,,,5711.97,1.159464,0.982996,295.4656422,50.5168243,21.1397,6.215,2021-09-20
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.681,,,533.9544,,,5674,,0.99,295.4656422,50.5168243,21.1397,6.215,2015-09-10
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,800.8,1.6,,,476.7,,G2.5 V,5760,,1,295.4656422,50.5168243,21.1397,6.215,2014-08-21
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,533.93,,,5747,1.12827,1.03,295.4656422,50.5168243,21.1397,6.215,2014-09-18
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,533.93,,G3 V,,,,295.4656422,50.5168243,21.1397,6.215,2014-09-18
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,,,565.7374,,,5750,1.13,1.08,295.4656422,50.5168243,21.1397,6.215,2018-09-06
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,,,1373.01871824,,K3 III,4157,25.92,1.22,243.4620874,-11.8377905,124.953,5.22606,2021-10-25
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,,,3273.5,,G6 III,4979,8.5,2.3,314.6078375,10.8391378,76.222,5.51048,2014-05-14
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,,,2926.24614325,,G6 III,4980,8.8,2.1,314.6078375,10.8391378,76.222,5.51048,2023-09-19
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,2.54,,,3127.3,,,,,2.1,314.6078375,10.8391378,76.222,5.51048,2014-07-23
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,4000,1700,,4060,,0.85,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,3000,1700,K7 V,4060,,0.85,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,3000,1800,,3993,1.31316,0.623,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,18.647,1.664,2543,1800,K7 V,4060,1.352,0.85,242.3762343,-21.0831403,139.135,12.618,2014-05-14
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,,,289.2253,,G3 IV,4893,10.64,0.99,217.1555242,49.8446488,95.9863,5.59,2018-04-26
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,,,280.64248338,,G3 IV,4816,12.19,1.05,217.1555242,49.8446488,95.9863,5.59,2023-09-19
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,,,632.46,,,5098,4.9,1.54,155.8684866,-0.9023998,72.0691,6.4535,2014-05-14
